ring,n_fixes,first_fix,last_fix,span_days,days_with_data,median_gap_min,iqr_gap_min,max_gap_days,hdop_ratio,span_months,calendar_days,coverage,animal_id,field_ring,cohort,first_deploy,n_deployments,tag_id,gps_quality,stationary_trimmed,keep,independence_date,post_indep_months,panel_b
FRP-EA739159,2110,2020-09-17T10:54:56Z,2024-09-18T16:08:11Z,1462.2175347222221,470,120.01666666666667,268.8666666666667,152.97015046296298,1,48.03605567418601,1463,0.3212576896787423,G294 [FRP-EA739159],G294,2020,2020-09-14,1,200210,TRUE,FALSE,TRUE,2021-03-31,41.64495235009977,TRUE
FRP-EA739160,4997,2020-09-15T13:03:58Z,2021-07-18T12:43:57Z,305.98609953703703,273,30.333333333333332,30.2,7.474837962962963,1,10.052105766656933,307,0.8892508143322475,G295 [FRP-EA739160],G295,2020,2020-09-14,1,200215,TRUE,FALSE,TRUE,2021-03-31,3.5982431285589134,FALSE
FRP-EA739161,431,2020-09-15T00:01:39Z,2020-10-14T20:04:11Z,29.83509259259259,30,60.3,59.82083333333334,1.0420023148148148,1,0.9801278775490339,30,1,G296 [FRP-EA739161],G296,2020,2020-09-15,1,200214,TRUE,FALSE,TRUE,2021-03-31,-5.491582180488636,FALSE
FRP-EA739162,1745,2020-09-18T12:39:10Z,2023-04-09T00:02:25Z,932.4744791666667,622,240.90833333333333,600.3541666666666,36.16240740740741,1,30.633195767630312,934,0.6659528907922913,G297 [FRP-EA739162],G297,2020,2020-09-18,1,200213,TRUE,FALSE,TRUE,2021-03-31,24.277321887015134,TRUE
FRP-EA739163,1874,2020-09-21T13:04:57Z,2021-06-18T21:45:41Z,270.36162037037036,249,60.68333333333333,120.4,6.075289351851851,1,8.88178779140507,271,0.9188191881918819,G298 [FRP-EA739163],G298,2020,2020-09-21,1,200209,TRUE,FALSE,TRUE,2021-03-31,2.6250566536477344,FALSE
FRP-EA739173,32852,2021-03-03T15:03:49Z,2024-07-25T08:15:49Z,1239.7166666666667,835,15.049999999999999,14.9,308.9189583333333,0.9450566175575308,40.726565922032414,1241,0.6728444802578566,G308 [FRP-EA739173],G308,2020,2021-03-03,2,6165,TRUE,FALSE,TRUE,2021-03-31,39.8273428754806,TRUE
FRP-EA739200,1100,2021-03-07T08:49:07Z,2021-07-23T23:56:57Z,138.63043981481482,120,60.016666666666666,1.125,7.873252314814814,0,4.554219442010999,139,0.8633093525179856,G335 [FRP-EA739200],G335,2020,2021-03-07,1,6204,FALSE,TRUE,TRUE,2021-03-31,3.7778542031683457,FALSE
FRP-EA739213,4123,2021-03-03T14:14:24Z,2021-08-14T15:03:26Z,164.03405092592592,159,59.65,50.1,2.8746527777777775,0,5.38876645617365,165,0.9636363636363636,G344 [FRP-EA739213],G344,2020,2021-03-03,1,6139,FALSE,FALSE,TRUE,2021-03-31,4.488416040054509,FALSE
FRP-EA739214,1745,2021-03-03T14:59:01Z,2021-07-30T14:59:00Z,148.99998842592592,148,60.083333333333336,0.5708333333333329,2.2497106481481484,0,4.894874784031732,150,0.9866666666666667,G345 [FRP-EA739214],G345,2020,2021-03-03,1,6265,FALSE,FALSE,TRUE,2021-03-31,3.995542232442692,FALSE
FRP-EA739215,2620,2021-03-03T14:00:00Z,2021-08-20T14:57:55Z,170.04021990740742,146,1.05,44.95833333333333,8.152442129629629,0,5.586078183554777,171,0.8538011695906432,G346 [FRP-EA739215],G346,2020,2021-03-03,1,5975,FALSE,FALSE,TRUE,2021-03-31,4.68539925232394,FALSE
FRP-EA739216,1084,2021-03-03T13:20:18Z,2021-07-20T14:59:31Z,139.06890046296297,131,60.266666666666666,119.11666666666666,4.624548611111112,0,4.568623536891031,140,0.9357142857142857,G347 [FRP-EA739216],G347,2020,2021-03-03,1,6212,FALSE,FALSE,TRUE,2021-03-31,3.6670389077480894,FALSE
FRP-EA739218,1436,2021-03-03T13:21:31Z,2021-04-13T17:58:03Z,41.19203703703704,42,59.53333333333333,50.50833333333333,0.5833333333333333,0,1.3532206648172482,42,1,G349 [FRP-EA739218],G349,2020,2021-03-03,1,6422,FALSE,FALSE,TRUE,2021-03-31,0.4516637921594393,FALSE
FRP-EA739219,3190,2021-03-03T14:20:48Z,2021-09-04T14:55:25Z,185.02403935185185,154,59.75,50.166666666666664,8.1103125,0,6.0783192953959215,186,0.8279569892473119,G350 [FRP-EA739219],G350,2020,2021-03-03,1,6206,FALSE,FALSE,TRUE,2021-03-31,5.1781148859930886,FALSE
FRP-EA739220,1755,2021-03-07T08:47:40Z,2021-07-30T15:04:40Z,145.26180555555555,125,60.016666666666666,0.7333333333333343,7.832175925925926,0,4.772069827712074,146,0.8561643835616438,G351 [FRP-EA739220],G351,2020,2021-03-07,1,6199,FALSE,FALSE,TRUE,2021-03-31,3.995671509222757,FALSE
