ring,n_fixes,share_inside,median_dist_km,max_dist_km
FRP-EA739218,1436,0.36420612813370473,41.33880423771356,55.293709698314416
FRP-EC115825,13559,0.7213658824397079,7.159205155019666,66.37649926748304
FRP-EA739219,3190,0.7310344827586207,9.152917403075852,129.73168156416338
FRP-EA739163,1874,0.8489861259338314,28.947253543919295,58.138055636374744
FRP-EA739200,1100,0.87,1.0821628891604642,57.441413457432205
FRP-EA739159,2110,0.8706161137440759,2.816859171731914,117.09908694022707
FRP-EC113554,120584,0.9711321568367279,2.2862724064951445,237.9944301871455
FRP-EC111834,4937,0.9760988454527041,22.979858350619736,70.808729675478
FRP-EC111824,6009,0.9805292061907139,3.8390403811411296,112.30334685329403
FRP-EC112904,32612,0.991659511836134,0.1210015703807018,68.16235308629011
FRP-EC111836,11743,0.9952312015668909,0.8727645193284751,50.29863367535801
FRP-EC111807,10538,0.9974378439931676,2.784898468776682,41.60905918449735
FRP-EC111837,27020,0.9984455958549223,1.329045727571302,47.69145444889401
FRP-EC111826,15669,0.9985959537941158,3.3136352423328805,46.58968963958092
FRP-EC111894,2914,0.9993136582017845,1.1618920111409705,31.463234275946323
FRP-EC111867,10909,0.9993583279860665,2.321701458778778,35.6606233969195
FRP-EC115831,8224,0.9995136186770428,5.686535241302612,32.11187959835398
FRP-EC111827,9285,0.9996768982229403,3.451655219910871,33.023514070833876
FRP-EC111820,10531,0.999905042256196,2.8161207539330237,35.894863421678174
FRP-EC111823,12064,0.9999171087533156,3.2075880276111612,42.672159367930455
FRP-EA739160,4997,1,2.348386487753538,7.956244282147189
FRP-EA739161,431,1,1.3232475782909061,4.439406676697487
FRP-EA739162,1745,1,4.671707016639234,14.322738729326575
FRP-EA739173,32852,1,0.6065124004032426,17.151318511262836
FRP-EA739213,4123,1,2.3679962957976874,14.366082121220304
FRP-EA739214,1745,1,1.245448754877743,7.052309387821607
FRP-EA739215,2620,1,2.3013448758820516,7.274868831208739
FRP-EA739216,1084,1,2.8149096561126443,17.513743001866835
FRP-EA739220,1755,1,5.512874872496016,20.20397226486514
FRP-EC111821,601,1,0.49407434153980073,21.304038801906973
FRP-EC111822,23581,1,1.1210319490118577,12.085105292528242
FRP-EC111825,5184,1,2.8909587308469105,14.785237852271473
FRP-EC111829,16511,1,10.913837486895174,21.576399397600316
FRP-EC111830,12838,1,0.9419184404415921,6.708516668091091
FRP-EC111832,21932,1,3.3656685411102014,7.004066633237457
FRP-EC111833,9043,1,2.126163679515782,27.958381491566936
FRP-EC111835,16657,1,3.4244314453706655,25.517976753915462
FRP-EC111874,2353,1,0.24061596999491658,6.117260047392174
FRP-EC111884,16628,1,1.0849938382109698,25.691585424899117
FRP-EC112900,62818,1,2.2094429990613325,23.262106292370234
FRP-EC112905,16204,1,2.3178930764266448,14.5109636435739
FRP-EC112907,16208,1,1.292551923432007,21.063522890236374
FRP-EC112956,22471,1,0.26371399484594876,11.15021844009818
FRP-EC113550,20694,1,2.9240928144977865,21.805158707367468
FRP-EC113551,163951,1,1.1048731673092094,17.675126394840944
FRP-EC113553,82937,1,2.4787762697328737,33.31656868934198
FRP-EC113572,83988,1,1.3040427631571845,18.444993782945865
FRP-EC113573,76546,1,2.5946370243949994,17.564214579379513
FRP-EC113574,29654,1,2.8596416006544647,7.750227227900502
FRP-EC113580,38617,1,3.400273565312278,21.882491938827407
FRP-EC113581,94142,1,5.61260072740909,31.250698319257747
FRP-EC115820,3605,1,4.5869621089710675,8.200734419388057
FRP-EC115821,51366,1,1.006017408627966,13.736308871355684
FRP-EC115822,12377,1,24.125105972111843,27.72529993343631
FRP-EC115823,41524,1,4.999755013860789,22.777872008400937
FRP-EC115824,1703,1,2.4821378964412246,7.471102361147351
FRP-EC115826,7907,1,2.0896512092848107,19.257611066753096
FRP-EC115828,8810,1,3.138014485537043,8.930852284817329
FRP-EC115829,10365,1,8.000907523060079,26.5702582909805
FRP-EC115830,7732,1,5.555001236219321,27.2062501843714
FRP-EC115832,9456,1,7.057055738751979,19.47521332464946
FRP-EC115833,4691,1,1.7242232484175413,28.278302446603377
FRP-EC115834,6785,1,3.0978012427443353,18.275410722914636
FRP-EC115835,1084,1,3.3562542257726613,12.342660676608897
FRP-EC115836,28962,1,4.757478241575702,18.939968488685153
FRP-EC115837,45388,1,0.8989437870517918,17.802704152811966
FRP-EC115838,3469,1,3.395753469308416,5.324860307639585
FRP-EC115839,27391,1,3.277886339922761,4.391694758485105
FRP-EC115840,15428,1,2.323747595829178,5.529494821499835
FRP-EC115841,36096,1,1.2118401541208779,18.415739668569547
FRP-EC115842,20551,1,5.58674845841761,19.810948695277617
FRP-EC115843,30733,1,2.0110925434843576,19.541628545145524
FRP-EC115844,32717,1,11.258265070869964,30.68286377863384
FRP-EC115846,38644,1,13.249007619675606,24.123852699358252
FRP-EC116551,3415,1,0.19571507512922895,18.27172411563949
